barrel_pct,batter_hr_profile,bullpen_hr_risk,bvp_context,confidence,edge_pct,estimated_hr_probability,fair_odds,game,hard_hit_pct,hr_odds,implied_probability,label,last_update,launch_angle,lineup_spot,lineup_status,market_odds_status,opposing_pitcher_hr9,park_weather_impact,pitch_type_fit,pitcher_barrel_allowed,pitcher_hard_hit_allowed,player,pull_fly_ball_profile,rank,required_recheck,short_reason,source,team,unit_size,xslg,xwoba
,1 HR / 49 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-1.55,0.089716,+1015,LAD@STL,,+850,0.105263,PASS,2026-05-01,,8,official_mlb_schedule,valid,2.373626,62F / 6 mph wind / 1% precip / open-air; roof not applicable,neutral,0.095,0.429,Miguel Rojas,unavailable,35,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,LAD,0.0,,
0.147,4 HR / 102 PA,3.93,unavailable/not used; BvP is supporting only,7.5,-8.05,0.08955,+1017,SF@TB,0.467,+488,0.170068,PASS,2026-05-01,23.2,4,official_mlb_schedule,valid,0.391304,79F / 8 mph wind / 0% precip / fixed dome,favorable,0.129,0.435,Casey Schmitt,unavailable,36,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,SF,0.0,0.53,0.37
0.08,7 HR / 104 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-2.76,0.088672,+1028,PHI@MIA,0.402,+760,0.116279,PASS,2026-05-01,12.0,5,official_mlb_schedule,valid,0.0,81F / 12 mph wind / 0% precip / retractable roof; status unverified,neutral,,,Liam Hicks,unavailable,37,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,MIA,0.0,0.479,0.372
0.211,9 HR / 130 PA,4.66,unavailable/not used; BvP is supporting only,7.5,-5.09,0.087997,+1036,LAD@STL,0.592,+620,0.138889,PASS,2026-05-01,13.0,4,official_mlb_schedule,valid,1.367089,62F / 6 mph wind / 1% precip / open-air; roof not applicable,favorable,0.083,0.403,Jordan Walker,unavailable,38,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,STL,0.0,0.549,0.384
0.045,7 HR / 136 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-8.52,0.084842,+1079,ATL@COL,0.309,+488,0.170068,PASS,2026-05-01,16.4,3,official_mlb_schedule,valid,1.963636,60F / 7 mph wind / 1% precip / open-air; roof not applicable,neutral,0.113,0.339,Ozzie Albies,unavailable,39,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,ATL,0.0,0.409,0.315
0.122,3 HR / 99 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-7.18,0.084409,+1085,LAD@STL,0.365,+540,0.15625,PASS,2026-05-01,19.6,3,official_mlb_schedule,valid,2.373626,62F / 6 mph wind / 1% precip / open-air; roof not applicable,favorable,0.095,0.429,Will Smith,unavailable,40,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,LAD,0.0,0.476,0.358
0.122,2 HR / 130 PA,9.49,unavailable/not used; BvP is supporting only,7.5,-9.64,0.083811,+1093,TOR@MIN,0.459,+455,0.18018,PASS,2026-05-01,7.0,3,official_mlb_schedule,valid,1.8,53F / 8 mph wind / 0% precip / open-air; roof not applicable,favorable,0.083,0.407,Vladimir Guerrero Jr.,unavailable,41,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,TOR,0.0,0.498,0.396
0.139,6 HR / 130 PA,9.74,unavailable/not used; BvP is supporting only,7.5,-12.09,0.083218,+1102,TEX@DET,0.43,+390,0.204082,PASS,2026-05-01,12.7,3,official_mlb_schedule,valid,1.421053,48F / 8 mph wind / 6% precip / open-air; roof not applicable,unfavorable,0.103,0.456,Corey Seager,unavailable,42,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,TEX,0.0,0.443,0.335
0.129,6 HR / 132 PA,4.33,unavailable/not used; BvP is supporting only,7.5,-11.85,0.082697,+1109,PHI@MIA,0.376,+397,0.201207,PASS,2026-05-01,14.5,2,official_mlb_schedule,valid,1.723404,81F / 12 mph wind / 0% precip / retractable roof; status unverified,favorable,0.149,0.46,Bryce Harper,unavailable,43,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,PHI,0.0,0.54,0.389
0.058,5 HR / 123 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-5.96,0.0822,+1117,LAD@STL,0.535,+605,0.141844,PASS,2026-05-01,16.3,6,official_mlb_schedule,valid,2.373626,62F / 6 mph wind / 1% precip / open-air; roof not applicable,neutral,0.095,0.429,Andy Pages,unavailable,44,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,LAD,0.0,0.446,0.346
0.102,4 HR / 140 PA,9.74,unavailable/not used; BvP is supporting only,7.5,-7.45,0.080544,+1142,TEX@DET,0.469,+545,0.155039,PASS,2026-05-01,11.2,1,official_mlb_schedule,valid,1.421053,48F / 8 mph wind / 6% precip / open-air; roof not applicable,neutral,0.103,0.456,Brandon Nimmo,unavailable,45,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,TEX,0.0,0.481,0.37
,4 HR / 64 PA,5.48,unavailable/not used; BvP is supporting only,7.5,-5.77,0.080192,+1147,BAL@NYY,,+625,0.137931,PASS,2026-05-01,,3,official_mlb_schedule,valid,0.861702,58F / 10 mph wind / 2% precip / open-air; roof not applicable,neutral,0.06,0.429,Adley Rutschman,unavailable,46,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,BAL,0.0,,
0.123,6 HR / 125 PA,10.0,unavailable/not used; BvP is supporting only,5.0,-0.78,0.079898,+1152,AZ@CHC,0.479,+1040,0.087719,PASS,2026-05-01,13.7,9,official_mlb_schedule,valid,0.556701,44F / 10 mph wind / 5% precip / open-air; roof not applicable,neutral,0.094,0.458,Dansby Swanson,unavailable,47,game already started or completed,Confidence cap prevents a BET label.,draftkings,CHC,0.0,0.442,0.352
0.103,5 HR / 109 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-12.18,0.079787,+1153,MIL@WSH,0.551,+396,0.201613,PASS,2026-05-01,10.1,4,official_mlb_schedule,valid,1.213483,67F / 10 mph wind / 1% precip / open-air; roof not applicable,favorable,0.125,0.512,Jake Bauers,unavailable,48,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,MIL,0.0,0.469,0.335
0.051,4 HR / 105 PA,4.33,unavailable/not used; BvP is supporting only,7.5,-2.29,0.079646,+1156,PHI@MIA,0.5,+875,0.102564,PASS,2026-05-01,12.1,4,official_mlb_schedule,valid,1.723404,81F / 12 mph wind / 0% precip / retractable roof; status unverified,neutral,0.149,0.46,Brandon Marsh,unavailable,49,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,PHI,0.0,0.443,0.317
0.08,5 HR / 127 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-5.62,0.078951,+1167,CIN@PIT,0.471,+640,0.135135,PASS,2026-05-01,11.0,4,official_mlb_schedule,valid,1.551724,49F / 11 mph wind / 59% precip / open-air; roof not applicable,favorable,0.085,0.462,Ryan O'Hearn,unavailable,50,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,PIT,0.0,0.497,0.389
0.128,7 HR / 131 PA,5.88,unavailable/not used; BvP is supporting only,6.0,-10.6,0.078861,+1168,HOU@BOS,0.489,+441,0.184843,PASS,2026-05-01,12.9,4,official_mlb_schedule,valid,,59F / 7 mph wind / 0% precip / open-air; roof not applicable,unavailable,,,Christian Walker,unavailable,51,pitch-type matchup missing,Confidence cap prevents a BET label.,rotowire_props_yes_only,HOU,0.0,0.502,0.362
0.157,5 HR / 110 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-2.62,0.078514,+1174,CIN@PIT,0.386,+855,0.104712,PASS,2026-05-01,19.0,6,official_mlb_schedule,valid,0.264706,49F / 11 mph wind / 59% precip / open-air; roof not applicable,neutral,0.03,0.39,Spencer Steer,unavailable,52,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,CIN,0.0,0.503,0.365
,2 HR / 43 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-8.2,0.078022,+1182,ATL@COL,,+525,0.16,PASS,2026-05-01,,7,official_mlb_schedule,valid,1.963636,60F / 7 mph wind / 1% precip / open-air; roof not applicable,neutral,0.113,0.339,Eli White,unavailable,53,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,rotowire_props_yes_only,ATL,0.0,,
0.105,2 HR / 91 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-7.35,0.076449,+1208,ATL@COL,0.439,+567,0.149925,PASS,2026-05-01,6.4,1,official_mlb_schedule,valid,1.391753,60F / 7 mph wind / 1% precip / open-air; roof not applicable,favorable,0.073,0.427,Edouard Julien,unavailable,54,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,COL,0.0,0.488,0.379
0.135,7 HR / 138 PA,10.0,unavailable/not used; BvP is supporting only,5.0,-6.26,0.076318,+1210,AZ@CHC,0.378,+620,0.138889,PASS,2026-05-01,11.5,4,official_mlb_schedule,valid,0.556701,44F / 10 mph wind / 5% precip / open-air; roof not applicable,neutral,0.094,0.458,Ian Happ,unavailable,55,game already started or completed,Confidence cap prevents a BET label.,draftkings,CHC,0.0,0.419,0.328
0.093,3 HR / 126 PA,10.0,unavailable/not used; BvP is supporting only,7.5,-3.82,0.075443,+1225,KC@SEA,0.407,+780,0.113636,PASS,2026-05-01,19.6,7,official_mlb_schedule,valid,2.333333,64F / 7 mph wind / 3% precip / retractable roof; status unverified,neutral,0.172,0.406,Cole Young,unavailable,56,"price, lineup, starter, weather, bullpen",No clear model edge at the available price.,draftkings,SEA,0.0,0.46,0.357
