date,game,player,team,prop_type,model_probability,fair_odds,market_odds,market_implied_probability,edge_percent,tier,confidence,result,win_loss_push,profit_loss_units,closing_odds,closing_line_value,notes,evaluation_mode
2026-04-18,CIN@MIN,Josh Bell,MIN,HR,6.09,+1543,,,,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"2 H, 2 TB, 0 HR, 2 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Josh Bell,MIN,2+ TB,29.74,+236,192,34.25,-4.51,B,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.920,,,"2 H, 2 TB, 0 HR, 2 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Ryan Jeffers,MIN,HR,7.99,+1151,,,,B,"High — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"1 H, 3 TB, 0 HR, 0 R, 2 RBI",target_accuracy
2026-04-18,CIN@MIN,Ryan Jeffers,MIN,2+ TB,35.26,+184,,,,A,"High — stats+savant+recent+BvP, posted lineup, no live markets",W,W,,,,"1 H, 3 TB, 0 HR, 0 R, 2 RBI",target_accuracy
2026-04-18,CIN@MIN,Luke Keaschall,MIN,HR,0.40,+24900,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"2 H, 3 TB, 0 HR, 0 R, 1 RBI",target_accuracy
2026-04-18,CIN@MIN,Luke Keaschall,MIN,2+ TB,10.95,+813,162,38.17,-27.22,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",W,W,1.620,,,"2 H, 3 TB, 0 HR, 0 R, 1 RBI",betting_roi
2026-04-18,CIN@MIN,Trevor Larnach,MIN,HR,3.55,+2719,,,,D,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Trevor Larnach,MIN,2+ TB,22.63,+342,228,30.49,-7.86,C,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,CIN@MIN,Brooks Lee,MIN,HR,4.22,+2268,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 1 RBI",target_accuracy
2026-04-18,CIN@MIN,Brooks Lee,MIN,2+ TB,20.25,+394,180,35.71,-15.46,C,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 1 RBI",betting_roi
